filter,n,target_fpr,achieved_fpr,bpe,load,fp_bits,r_bits,threads,qfrac,neg_share,ops,run,throughput_ops_s,p50_ns,p95_ns,p99_ns,insert_fail,kicks,max_kicks,stash_size,stash_hits,fp_checks,scan_steps
cuckoo,1000000,0.01,0.00045,50.3316,0.4,12,10,1,1,0.5,3000000,0,4.50054e+06,0,0,0,0,0,0,0,0,14205395,0
cuckoo,1000000,0.01,0.000478,50.3316,0.4,12,10,1,1,0.5,3000000,1,4.50859e+06,0,0,0,0,0,0,0,0,14207701,0
cuckoo,1000000,0.01,0.000872,25.1658,0.55,12,10,1,1,0.5,3000000,0,3.73078e+06,0,0,0,0,0,0,0,0,14993468,0
cuckoo,1000000,0.01,0.000982,25.1658,0.55,12,10,1,1,0.5,3000000,1,3.79925e+06,0,0,0,0,0,0,0,0,14995670,0
cuckoo,1000000,0.01,0.000872,25.1658,0.7,12,10,1,1,0.5,3000000,0,5.58568e+06,0,0,0,0,0,0,0,0,14993468,0
cuckoo,1000000,0.01,0.000982,25.1658,0.7,12,10,1,1,0.5,3000000,1,4.40233e+06,0,0,0,0,0,0,0,0,14995670,0
cuckoo,1000000,0.01,0.000872,25.1658,0.8,12,10,1,1,0.5,3000000,0,4.13281e+06,0,0,0,0,0,0,0,0,14993468,0
cuckoo,1000000,0.01,0.000982,25.1658,0.8,12,10,1,1,0.5,3000000,1,4.32063e+06,0,0,0,0,0,0,0,0,14995670,0
cuckoo,1000000,0.01,0.000872,25.1658,0.85,12,10,1,1,0.5,3000000,0,4.3429e+06,0,0,0,0,0,0,0,0,14993468,0
cuckoo,1000000,0.01,0.000982,25.1658,0.85,12,10,1,1,0.5,3000000,1,4.82118e+06,0,0,0,0,0,0,0,0,14995670,0
cuckoo,1000000,0.01,0.000872,25.1658,0.9,12,10,1,1,0.5,3000000,0,5.39181e+06,0,0,0,0,0,0,0,0,14993468,0
cuckoo,1000000,0.01,0.000982,25.1658,0.9,12,10,1,1,0.5,3000000,1,5.21097e+06,0,0,0,0,0,0,0,0,14995670,0
cuckoo,1000000,0.01,0.000872,25.1658,0.95,12,10,1,1,0.5,3000000,0,5.77681e+06,0,0,0,0,0,0,0,0,14993468,0
cuckoo,1000000,0.01,0.000982,25.1658,0.95,12,10,1,1,0.5,3000000,1,5.84616e+06,0,0,0,0,0,0,0,0,14995670,0
